Interval,pkt_count,len_mean,len_std,len_max,DHCP,DNS,HTTP,ICMP,IGMPv2,MDNS,NTP,OCSP,QUIC,SSLv2,TCP,"TCP, HiPerConTracer",TLSv1.2,TLSv1.3,UDP,tcp_ratio,udp_ratio
0,6,72.66666666666667,15.731073284002802,94,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0.6666666666666666,0.0
1,59,383.6779661016949,538.265363368932,1514,0,6,0,0,0,0,0,0,0,0,31,0,12,10,0,0.5254237288135594,0.0
2,310,355.6548387096774,492.77105651112186,1490,0,24,0,1,0,0,0,0,0,0,145,0,8,132,0,0.46774193548387094,0.0
3,19,166.05263157894737,268.0981316367843,1138,0,0,0,0,0,0,0,0,0,0,11,0,3,5,0,0.5789473684210527,0.0
4,119,227.35294117647058,348.22592968600566,1490,0,0,0,0,0,0,0,0,0,0,64,0,2,53,0,0.5378151260504201,0.0
5,6,72.66666666666667,15.731073284002802,94,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0.6666666666666666,0.0
6,93,352.13978494623655,488.525322902861,1490,0,0,0,0,0,0,0,0,0,0,49,0,2,42,0,0.5268817204301075,0.0
7,142,257.98591549295776,387.2991034651391,1490,0,0,0,0,0,0,0,0,0,0,74,0,3,65,0,0.5211267605633803,0.0
8,118,652.5847457627119,685.6081251733973,1514,0,6,0,0,0,0,0,0,0,0,84,0,6,22,0,0.711864406779661,0.0
9,107,301.7102803738318,469.1734001641812,1514,0,10,0,0,0,0,0,0,0,0,64,0,8,25,0,0.5981308411214953,0.0
10,505,333.69702970297027,472.5683301678899,1514,0,46,0,1,0,9,0,0,18,0,223,0,2,188,18,0.4415841584158416,0.03564356435643564
11,1643,727.8101034692636,673.9052604726737,1514,0,18,0,0,0,0,0,0,0,0,1129,0,51,424,21,0.6871576384662204,0.01278149726110773
12,243,493.79423868312756,629.5989990748809,1494,0,0,0,0,0,0,0,0,4,0,174,0,15,32,18,0.7160493827160493,0.07407407407407407
13,995,643.4291457286432,656.798666782215,1514,0,28,0,2,0,7,0,0,0,0,604,0,0,334,20,0.607035175879397,0.020100502512562814
14,1789,684.6702068194522,669.0757997799979,1514,0,32,0,0,0,0,0,0,2,0,1218,0,2,514,21,0.6808272778088318,0.011738401341531582
15,414,528.5990338164252,564.8091010925993,1514,0,10,0,2,0,0,0,0,206,0,118,0,4,54,20,0.28502415458937197,0.04830917874396135
16,345,408.4579710144927,517.4561088020595,1514,0,10,0,9,0,0,0,0,141,0,117,0,3,47,18,0.3391304347826087,0.05217391304347826
17,1723,704.6256529309344,673.9822117858882,1514,0,36,0,0,0,0,0,0,0,0,1176,0,2,509,0,0.6825304701102728,0.0
18,166,263.28915662650604,410.2966267742336,1490,0,2,0,0,0,0,0,0,0,0,92,0,0,72,0,0.5542168674698795,0.0
19,1382,1209.6743849493487,570.6616441865634,1514,0,20,0,0,0,8,0,0,0,0,957,0,4,393,0,0.6924746743849494,0.0
20,8091,1187.6700037078235,592.9645020829809,1502,0,0,0,0,0,1,0,0,0,11,6132,0,2,1945,0,0.7578791249536522,0.0
21,8206,1143.1709724591763,617.0622866332753,1514,0,0,0,8,0,0,0,0,8,40,2727,0,9,5414,0,0.33231781623202533,0.0
22,10552,1071.8174753601213,649.3110154999263,1514,0,8,0,0,0,5,0,0,0,42,4559,0,0,5938,0,0.4320507960576194,0.0
23,49569,1350.0717787326757,441.5992009425998,1514,0,0,0,0,0,2,0,0,0,67,34992,0,8,14500,0,0.7059250741390789,0.0
24,116863,1446.2297647672917,275.952742609996,1514,0,4,0,0,0,0,0,0,0,0,103803,0,8,13048,0,0.8882452102034005,0.0
25,4311,1397.7710508002783,364.75703289414514,1514,0,4,0,0,0,0,0,0,0,0,3795,0,4,508,0,0.8803061934585943,0.0
26,8,73.25,17.392527130926087,95,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0.625,0.0
27,14,65.42857142857143,12.635202873256592,94,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0.8571428571428571,0.0
28,7,77.42857142857143,29.211054658908058,131,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0.7142857142857143,0.0
29,13,127.46153846153847,84.37279911659462,266,0,2,0,0,0,3,0,0,0,0,5,0,1,2,0,0.38461538461538464,0.0
30,20,88.4,47.550969883295814,266,0,0,0,0,0,1,0,0,0,0,13,0,6,0,0,0.65,0.0
31,71,290.19718309859155,447.7047056046241,1490,0,4,0,0,0,0,0,0,0,0,37,0,4,26,0,0.5211267605633803,0.0
32,8,69.75,15.313392831113553,95,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0.75,0.0
33,11,79.0,23.25510696599781,131,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0.7272727272727273,0.0
34,302,467.7317880794702,593.3774024824829,1490,0,6,0,0,0,0,0,0,25,0,183,0,5,83,0,0.6059602649006622,0.0
35,114,338.8859649122807,484.63469973852847,1514,0,14,0,1,0,0,0,0,0,0,56,0,2,41,0,0.49122807017543857,0.0
36,1666,702.3811524609844,666.7658200895967,1514,0,34,0,4,0,0,0,0,4,0,1185,0,0,439,0,0.7112845138055222,0.0
37,874,837.8455377574371,683.3645572847868,1514,0,8,0,0,0,0,0,0,0,0,666,0,10,190,0,0.7620137299771167,0.0
38,476,1092.329831932773,629.1944912536757,1514,0,0,0,0,0,0,0,0,0,0,391,0,0,85,0,0.8214285714285714,0.0
39,2595,910.028901734104,635.8895768182399,1514,0,56,0,0,0,0,0,0,66,0,1617,0,158,698,0,0.623121387283237,0.0
40,552,805.4583333333334,669.4532523357518,1514,0,0,0,0,0,0,0,0,0,0,302,0,26,224,0,0.5471014492753623,0.0
41,91,949.1868131868132,679.1638635866557,1514,0,0,0,0,0,0,0,0,0,0,71,0,20,0,0,0.7802197802197802,0.0
42,4,85.5,22.516660498395403,105,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.5,0.0
43,16,70.125,17.59119097730452,105,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0.75,0.0
44,32,71.125,21.272047386182646,131,0,0,0,0,0,0,0,0,0,0,25,0,5,2,0,0.78125,0.0
45,24,400.5416666666667,602.5938843804786,1514,0,0,0,0,0,0,0,0,0,0,20,0,2,2,0,0.8333333333333334,0.0
46,18,76.88888888888889,17.68644841443131,105,0,0,0,0,0,0,0,0,0,0,10,0,2,6,0,0.5555555555555556,0.0
47,29,473.7241379310345,543.3265195962292,1292,0,0,0,0,0,0,0,0,20,0,3,0,6,0,0,0.10344827586206896,0.0
48,41,73.34146341463415,20.96975173445976,131,0,0,0,0,0,0,0,0,0,0,30,0,3,8,0,0.7317073170731707,0.0
49,8,60.0,6.4142698058981855,66,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1.0,0.0
50,6,72.66666666666667,15.731073284002802,94,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0.6666666666666666,0.0
51,29,121.58620689655173,83.32745956310788,396,0,0,0,0,0,10,0,0,0,0,12,0,3,4,0,0.41379310344827586,0.0
52,107,537.1401869158879,639.8679617421985,1514,0,4,0,0,0,3,0,0,0,0,68,0,15,17,0,0.6355140186915887,0.0
53,52,314.9230769230769,468.48641749636903,1514,0,4,0,0,0,0,0,0,0,0,29,0,5,14,0,0.5576923076923077,0.0
54,295,581.4881355932204,639.9841401852776,1494,0,6,0,0,0,3,0,0,0,0,192,0,0,94,0,0.6508474576271186,0.0
55,88,525.5681818181819,599.7096767997252,1514,0,2,0,0,0,4,0,0,0,0,53,0,0,29,0,0.6022727272727273,0.0
56,199,902.251256281407,687.3664845089492,1490,0,0,0,0,0,0,0,0,0,0,166,0,4,29,0,0.8341708542713567,0.0
57,217,682.8341013824885,676.8186611848168,1494,0,0,0,0,0,0,0,0,0,0,151,0,5,61,0,0.695852534562212,0.0
58,191,612.6178010471205,661.3365060298505,1514,0,2,0,0,0,0,0,0,0,0,138,0,1,50,0,0.7225130890052356,0.0
59,171,830.4795321637426,691.1501185294767,1494,0,0,0,0,0,0,0,0,0,0,144,0,0,27,0,0.8421052631578947,0.0
60,154,725.5,676.098807896609,1514,0,8,0,0,0,0,0,0,0,0,104,0,4,38,0,0.6753246753246753,0.0
61,595,904.127731092437,673.924236033394,1514,0,0,0,0,0,0,0,0,0,0,457,0,2,136,0,0.7680672268907563,0.0
62,974,833.2145790554415,686.0661159616368,1514,0,2,0,0,0,0,0,0,0,0,772,0,3,197,0,0.7926078028747433,0.0
63,13,126.53846153846153,160.91903522404024,653,0,0,0,0,0,0,0,0,1,0,7,0,0,5,0,0.5384615384615384,0.0
64,187,708.3208556149733,677.7345118416204,1514,0,6,0,0,0,0,0,0,0,0,135,0,2,44,0,0.7219251336898396,0.0
65,4185,1143.8078853046595,579.0164968448614,1514,0,28,0,0,0,0,0,0,462,0,2938,0,141,616,0,0.7020310633213859,0.0
66,577,858.471403812825,664.1019518060789,1514,0,4,0,0,0,0,0,0,12,0,401,0,30,130,0,0.6949740034662045,0.0
67,878,982.1560364464692,670.214926318915,1514,0,4,0,0,0,0,0,0,0,0,582,0,21,271,0,0.662870159453303,0.0
68,44,296.5681818181818,470.5346487860859,1514,0,2,0,0,0,0,0,0,0,0,26,0,2,14,0,0.5909090909090909,0.0
69,28,397.35714285714283,564.0282508215947,1514,0,4,0,0,0,0,0,0,0,0,15,0,4,5,0,0.5357142857142857,0.0
70,2192,934.0378649635037,491.13366926427227,1514,0,32,0,0,0,0,0,0,2028,0,71,0,5,56,0,0.03239051094890511,0.0
71,646,715.8343653250774,643.2584387586747,1514,0,28,0,0,0,0,0,0,147,0,245,0,43,183,0,0.37925696594427244,0.0
72,1451,786.5975189524465,650.9573135806872,1490,0,2,0,0,0,0,0,0,14,0,798,0,49,588,0,0.5499655410062027,0.0
73,182,551.8626373626373,613.8049862438046,1514,0,8,0,0,0,0,0,0,0,0,102,0,23,49,0,0.5604395604395604,0.0
74,77,354.4155844155844,506.32102752288006,1494,0,0,0,0,0,0,0,0,0,0,43,0,2,32,0,0.5584415584415584,0.0
75,204,252.49019607843138,404.340787962102,1490,0,0,0,0,0,0,0,0,0,0,106,0,32,66,0,0.5196078431372549,0.0
76,186,367.31182795698925,508.90526869741865,1454,0,0,0,0,0,0,0,0,0,0,114,0,0,72,0,0.6129032258064516,0.0
77,343,609.5481049562683,640.0666014237067,1514,0,4,0,0,0,0,0,0,0,0,148,0,60,131,0,0.4314868804664723,0.0
78,40,311.3,449.5384641710104,1313,0,8,0,0,0,0,0,0,15,0,9,0,2,6,0,0.225,0.0
79,33,319.93939393939394,494.6048258075544,1514,0,4,0,0,0,0,0,0,0,0,16,0,0,13,0,0.48484848484848486,0.0
80,18,74.05555555555556,18.64047532284083,105,0,0,0,0,0,0,0,0,0,0,12,0,4,2,0,0.6666666666666666,0.0
81,73,336.7808219178082,510.0324675551805,1466,0,0,0,0,0,0,0,0,0,0,41,0,32,0,0,0.5616438356164384,0.0
82,72,350.3333333333333,519.6443529195009,1490,0,6,0,0,0,0,6,0,0,0,33,0,2,25,0,0.4583333333333333,0.0
83,73,557.8904109589041,577.7615944709912,1392,0,0,0,0,0,0,0,0,55,0,12,0,0,6,0,0.1643835616438356,0.0
84,55,700.2727272727273,663.462200060479,1514,0,0,0,0,0,0,0,0,20,0,25,0,8,2,0,0.45454545454545453,0.0
85,47,199.2127659574468,366.3000632749422,1490,0,0,0,0,0,0,0,0,0,0,30,0,5,12,0,0.6382978723404256,0.0
86,1447,547.8762957843815,560.5338931821249,1514,0,88,0,13,0,0,0,0,1029,0,161,0,81,75,0,0.11126468555632343,0.0
87,1145,600.9397379912664,574.9001713599081,1514,0,8,0,4,0,0,0,0,860,0,165,0,67,41,0,0.14410480349344978,0.0
88,1052,681.5123574144486,625.314583314631,1514,0,8,0,3,0,0,0,0,37,0,303,0,84,617,0,0.2880228136882129,0.0
89,183,383.42622950819674,525.0803222391203,1514,0,4,0,0,0,0,0,0,0,0,95,0,62,22,0,0.5191256830601093,0.0
90,735,544.2721088435375,570.1266716868344,1514,0,2,0,0,0,0,0,0,385,0,185,0,117,46,0,0.25170068027210885,0.0
91,35,272.4,487.6370516251273,1514,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0,0.7714285714285715,0.0
92,24,184.66666666666666,356.32821541585685,1494,0,0,0,0,0,0,0,0,0,0,16,0,2,6,0,0.6666666666666666,0.0
93,141,397.92198581560285,527.5294991199476,1490,0,4,0,0,0,0,0,0,26,0,62,0,33,16,0,0.4397163120567376,0.0
94,681,695.8869309838473,673.4298713365496,1514,0,22,0,0,0,0,0,0,43,0,361,0,120,135,0,0.5301027900146843,0.0
95,542,430.08671586715866,560.69351189212,1514,0,12,0,0,0,0,0,0,0,0,287,0,176,67,0,0.5295202952029521,0.0
96,127,784.3228346456693,681.6175774837075,1514,0,4,0,0,0,0,0,0,0,0,90,0,2,31,0,0.7086614173228346,0.0
97,392,701.3316326530612,685.3476144659037,1514,0,4,0,0,0,0,0,0,0,0,272,0,46,70,0,0.6938775510204082,0.0
98,133,491.0601503759398,587.4457519686713,1454,0,0,0,0,0,0,0,0,2,0,81,0,0,50,0,0.6090225563909775,0.0
99,96,346.21875,516.6632661532125,1466,0,0,0,0,0,0,0,0,0,0,56,0,32,8,0,0.5833333333333334,0.0
100,10,67.6,14.00952057233461,94,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0.8,0.0
101,91,600.010989010989,647.225351352568,1514,0,8,0,1,0,0,0,0,1,0,61,0,8,12,0,0.6703296703296703,0.0
102,26,319.34615384615387,460.3848774499607,1292,0,0,0,0,0,0,0,0,15,0,5,0,4,2,0,0.19230769230769232,0.0
103,29,74.65517241379311,22.7600462309174,131,0,0,0,0,0,0,0,0,0,0,20,0,5,4,0,0.6896551724137931,0.0
104,6,60.0,6.572670690061994,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0,0.0
105,83,295.72289156626505,474.7506229398554,1466,0,0,0,0,0,0,0,0,0,0,44,0,33,6,0,0.5301204819277109,0.0
106,254,563.4724409448819,640.7975863471447,1490,0,26,0,0,0,8,0,0,18,0,95,0,31,76,0,0.37401574803149606,0.0
107,81,538.8888888888889,637.3992665511938,1514,0,2,0,0,0,1,0,0,0,0,55,0,14,9,0,0.6790123456790124,0.0
108,219,799.0958904109589,703.4897708818,1514,0,6,0,0,0,0,0,0,17,0,173,0,0,23,0,0.7899543378995434,0.0
109,50,253.16,429.6150322304462,1514,0,2,0,0,0,5,0,0,0,0,25,0,2,16,0,0.5,0.0
110,16,108.3125,77.43273963038287,299,0,0,0,0,0,2,0,0,2,0,9,0,2,1,0,0.5625,0.0
111,104,259.84615384615387,431.3743394799493,1466,0,4,0,0,0,8,0,0,0,0,58,0,30,4,0,0.5576923076923077,0.0
112,16,87.3125,60.891946648688,310,0,0,0,0,0,1,0,0,1,0,11,0,2,1,0,0.6875,0.0
113,4,79.0,15.0996688705415,94,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0.5,0.0
114,36,709.3611111111111,679.3382979163423,1514,0,0,0,0,0,5,0,0,0,0,23,0,6,2,0,0.6388888888888888,0.0
115,60,442.21666666666664,615.8451844765353,1514,0,0,0,0,0,2,0,0,0,0,44,0,10,4,0,0.7333333333333333,0.0
116,2133,547.0571964369433,559.2210296064069,1514,0,130,0,5,0,0,0,0,1433,0,267,0,178,120,0,0.12517580872011252,0.0
117,2068,883.8133462282399,681.4576184215084,1514,0,68,0,0,0,0,0,0,44,0,1395,0,91,470,0,0.6745647969052224,0.0
118,198,469.3030303030303,585.8789302445314,1514,0,4,0,0,0,0,0,0,0,0,106,0,63,25,0,0.5353535353535354,0.0
119,65,519.6923076923077,584.3534868520542,1514,0,4,0,0,0,0,0,0,0,0,35,0,0,26,0,0.5384615384615384,0.0
120,148,442.6689189189189,560.5027309552981,1490,0,6,0,0,0,0,0,0,21,0,79,0,2,40,0,0.5337837837837838,0.0
121,236,327.77542372881356,484.48000243058397,1514,0,0,0,0,0,0,0,0,0,0,149,0,6,81,0,0.6313559322033898,0.0
122,49,506.48979591836735,619.043082858838,1514,0,0,0,0,0,0,0,0,0,0,36,0,2,11,0,0.7346938775510204,0.0
123,166,355.06024096385545,523.5997974256522,1514,0,0,0,0,0,0,0,0,0,0,99,0,34,33,0,0.5963855421686747,0.0
124,49,254.40816326530611,394.71191595724525,1369,0,4,0,0,0,0,0,0,0,0,33,0,2,10,0,0.673469387755102,0.0
125,6,60.0,6.572670690061994,66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1.0,0.0
126,218,520.8715596330276,619.5135463557627,1514,0,10,0,0,0,0,0,0,20,0,133,0,4,51,0,0.6100917431192661,0.0
127,355,494.2112676056338,523.8530952561086,1466,0,8,0,2,0,0,0,0,273,0,43,0,5,24,0,0.12112676056338029,0.0
128,4,64.5,7.54983443527075,72,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.75,0.0
129,127,370.1417322834646,529.2603362826792,1466,0,0,0,0,0,0,0,0,0,0,67,0,60,0,0,0.5275590551181102,0.0
130,85,256.3764705882353,468.3129035487406,1514,0,2,0,0,0,0,0,0,0,0,61,0,2,20,0,0.7176470588235294,0.0
131,82,426.6219512195122,545.1515734460587,1490,0,8,0,0,0,3,0,0,0,0,37,0,0,34,0,0.45121951219512196,0.0
132,61,463.1639344262295,551.9984655874769,1490,0,0,0,0,0,1,0,0,20,0,20,0,4,16,0,0.32786885245901637,0.0
133,427,920.1217798594848,686.8072551976497,1510,0,10,0,0,0,0,0,0,0,0,122,0,44,251,0,0.2857142857142857,0.0
134,350,499.0514285714286,595.7176045713557,1490,0,16,0,0,0,0,0,0,0,0,154,0,76,104,0,0.44,0.0
135,134,282.97014925373134,451.5632819422698,1466,0,0,0,0,0,0,0,0,0,0,79,0,31,24,0,0.5895522388059702,0.0
136,256,445.33984375,565.1944431459963,1514,0,0,0,0,0,0,0,0,0,0,129,0,70,57,0,0.50390625,0.0
137,6,81.33333333333333,29.93103183431314,131,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0.6666666666666666,0.0
138,92,382.6195652173913,506.65470050820767,1490,0,12,0,0,0,0,0,0,20,0,29,0,2,29,0,0.31521739130434784,0.0
139,160,474.2125,582.2011192354354,1490,0,0,0,0,0,0,0,0,0,0,88,0,0,72,0,0.55,0.0
140,287,699.01393728223,655.3543000136123,1490,0,0,0,0,0,0,0,0,2,0,120,0,7,158,0,0.4181184668989547,0.0
141,322,359.7142857142857,508.25797321264264,1514,0,22,0,0,0,2,0,0,0,0,159,0,42,97,0,0.4937888198757764,0.0
142,458,694.6484716157205,651.3700263048164,1514,0,2,0,4,0,7,0,0,27,0,165,0,30,223,0,0.36026200873362446,0.0
143,44,444.65909090909093,598.3394441122445,1514,0,0,0,0,0,0,0,0,0,0,29,0,6,9,0,0.6590909090909091,0.0
144,39,357.0769230769231,504.6149331611489,1292,0,0,0,0,0,0,0,0,22,0,15,0,0,2,0,0.38461538461538464,0.0
145,85,320.83529411764704,513.8477828867136,1514,0,2,0,0,0,7,0,0,0,0,48,0,0,28,0,0.5647058823529412,0.0
146,18,76.05555555555556,17.903243946024133,105,0,0,0,0,0,0,0,0,2,0,10,0,4,2,0,0.5555555555555556,0.0
147,629,761.60413354531,661.0353253196582,1490,0,20,0,0,0,0,0,0,0,0,279,0,32,298,0,0.4435612082670906,0.0
148,737,707.5793758480326,652.0515863062528,1490,0,0,0,0,0,0,0,0,1,0,272,0,61,403,0,0.36906377204884666,0.0
149,517,727.8568665377176,660.446879202485,1514,0,8,0,0,0,0,0,0,0,0,236,0,0,273,0,0.4564796905222437,0.0
150,444,687.0112612612612,644.411063206596,1490,0,2,0,0,0,0,0,0,17,0,141,0,2,282,0,0.31756756756756754,0.0
151,86,679.4883720930233,663.5853195586755,1490,2,0,0,0,0,0,0,0,0,0,30,0,3,51,0,0.3488372093023256,0.0
152,262,693.5114503816794,660.076755857359,1494,0,0,0,0,0,0,0,0,0,0,102,0,5,155,0,0.3893129770992366,0.0
153,374,606.8716577540107,634.6877720064485,1490,0,24,0,0,0,0,0,0,0,0,142,0,32,176,0,0.37967914438502676,0.0
154,173,736.8728323699422,662.5580501215608,1490,0,0,0,0,0,0,0,0,0,0,76,0,0,97,0,0.4393063583815029,0.0
155,36,482.19444444444446,574.3345376269053,1490,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0.5,0.0
156,242,612.7520661157025,639.0226105388961,1514,0,4,0,0,0,0,0,0,17,0,134,0,4,83,0,0.5537190082644629,0.0
157,30,122.23333333333333,182.67734573197126,1034,0,0,0,0,0,0,0,0,0,0,20,0,5,5,0,0.6666666666666666,0.0
158,7,125.0,125.07730942634373,407,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0.7142857142857143,0.0
159,200,717.43,676.4693110139727,1490,0,0,0,0,0,0,0,0,0,0,71,0,57,72,0,0.355,0.0
160,153,398.3071895424837,510.85282514744716,1514,0,8,0,8,0,0,0,0,8,0,73,0,4,52,0,0.477124183006536,0.0
161,148,254.34459459459458,421.8807213322355,1514,0,8,0,0,0,4,0,0,0,0,115,0,0,21,0,0.777027027027027,0.0
162,955,713.7748691099476,653.4613199282794,1490,0,16,0,0,1,0,0,0,20,0,333,0,61,524,0,0.3486910994764398,0.0
163,259,596.5173745173745,665.6594173962192,1514,0,8,0,0,0,0,0,0,0,0,151,0,49,51,0,0.583011583011583,0.0
164,1829,936.5872061235648,490.68055346364287,1514,0,32,0,0,0,0,0,0,1671,0,80,0,0,46,0,0.04373974849644614,0.0
165,408,754.6740196078431,606.6877521516567,1514,0,4,0,0,0,0,0,0,231,0,135,0,28,10,0,0.33088235294117646,0.0
166,450,565.0688888888889,630.3473515947059,1514,0,20,0,0,0,0,0,0,22,0,251,0,96,61,0,0.5577777777777778,0.0
167,1029,655.6870748299319,643.8047541884551,1514,0,30,0,0,0,0,0,0,0,0,553,0,24,422,0,0.5374149659863946,0.0
168,2221,843.6902296262945,684.4490507687118,1514,0,30,0,1,0,0,0,0,17,1,1552,0,0,620,0,0.6987843313822603,0.0
169,167,393.2874251497006,512.8981216130293,1494,0,2,0,0,0,0,0,0,0,0,94,0,0,71,0,0.562874251497006,0.0
170,141,456.48936170212767,562.8312309466091,1514,0,6,0,0,0,0,0,0,0,0,85,0,2,48,0,0.6028368794326241,0.0
171,428,673.7359813084112,666.8576230211894,1514,0,14,0,0,0,0,0,0,0,0,216,0,80,118,0,0.5046728971962616,0.0
172,130,381.0,528.6341036140933,1514,0,2,0,4,0,0,0,0,4,0,80,0,2,38,0,0.6153846153846154,0.0
173,191,856.1151832460733,689.0977375714932,1514,0,4,0,0,0,0,0,0,0,0,142,0,22,23,0,0.743455497382199,0.0
174,63,465.46031746031747,555.4331592258781,1454,0,0,0,0,0,0,0,0,24,0,25,0,0,14,0,0.3968253968253968,0.0
175,69,496.71014492753625,605.855086086387,1454,0,0,0,0,0,0,0,0,0,0,50,0,5,14,0,0.7246376811594203,0.0
176,145,241.4551724137931,359.05632449114194,1454,0,0,0,0,0,0,0,0,0,0,77,0,0,68,0,0.5310344827586206,0.0
177,247,390.4412955465587,528.2393323783126,1466,0,4,0,0,0,0,0,0,28,0,130,0,29,56,0,0.5263157894736842,0.0
